Filename,Split
train695,train
train10036,train
train14077,train
train13927,train
train15052,train
train6988,train
train13551,train
train9101,train
train10388,train
train2424,train
train9986,train
train12760,train
train13977,train
train17751,train
train8374,train
train8783,train
train8502,train
train16982,train
train11777,train
train5155,train
train16125,train
train3720,train
train494,train
train5983,train
train1965,train
train2564,train
train18046,train
train7585,train
train6737,train
train2484,train
train14642,train
train3749,train
train1517,train
train11683,train
train17310,train
train1212,train
train12709,train
train2492,train
train15333,train
train14448,train
train325,train
train15040,train
train16397,train
train10805,train
train11029,train
train7068,train
train10585,train
train12523,train
train16786,train
train5734,train
train7492,train
train18649,train
train13025,train
train8315,train
train7364,train
train9965,train
train113,train
train6340,train
train17283,train
train13261,train
train4809,train
train17810,train
train10038,train
train9528,train
train17606,train
train6093,train
train986,train
train17708,train
train9070,train
train12483,train
train15831,train
train11595,train
train17032,train
train2029,train
train13396,train
train4754,train
train5030,train
train17456,train
train18058,train
train2665,train
train12668,train
train14725,train
train7883,train
train10325,train
train4078,train
train4736,train
train3995,train
train15928,train
train9641,train
train11303,train
train17387,train
train18249,train
train5256,train
train10645,train
train17666,train
train14430,train
train16842,train
train16628,train
train6224,train
train3551,train
train4148,train
train951,train
train53,train
train9650,train
train202,train
train10810,train
train3410,train
train12259,train
train6654,train
train1893,train
train9907,train
train7220,train
train10120,train
train737,train
train16789,train
train5894,train
train18624,train
train17016,train
train6549,train
train12798,train
train9217,train
train2477,train
train9087,train
train15687,train
train15366,train
train14113,train
train5166,train
train10032,train
train14063,train
train6607,train
train18419,train
train3404,train
train313,train
train13793,train
train1010,train
train4282,train
train18211,train
train10572,train
train1004,train
train18545,train
train4160,train
train15970,train
train11339,train
train899,train
train7704,train
train8812,train
train1267,train
train16705,train
train10972,train
train14570,train
train5019,train
train483,train
train18463,train
train15459,train
train12675,train
train13219,train
train2262,train
train1801,train
train1526,train
train15268,train
train15701,train
train4259,train
train11749,train
train2426,train
train339,train
train9034,train
train17876,train
train4045,train
train228,train
train5937,train
train4956,train
train13701,train
train17583,train
train10316,train
train9312,train
train150,train
train12930,train
train7927,train
train13057,train
train1222,train
train14298,train
train12837,train
train4269,train
train17888,train
train4093,train
train3424,train
train7579,train
train18587,train
train7968,train
train2558,train
train11184,train
train14322,train
train13864,train
train238,train
train7489,train
train10076,train
train3540,train
train18593,train
train17410,train
train15255,train
train12254,train
train8271,train
train11304,train
train14339,train
train2405,train
train1308,train
train4301,train
train11015,train
train3699,train
train11230,train
train5294,train
train15621,train
train4378,train
train16643,train
train2511,train
train5674,train
train16027,train
train16016,train
train13931,train
train12324,train
train4128,train
train15642,train
train3517,train
train6632,train
train3041,train
train18735,train
train10104,train
train9489,train
train8595,train
train1276,train
train4072,train
train13027,train
train476,train
train12264,train
train17688,train
train10173,train
train8827,train
train7192,train
train6730,train
train7811,train
train5414,train
train13654,train
train16359,train
train1490,train
train16903,train
train2540,train
train7589,train
train14584,train
train15234,train
train10877,train
train16133,train
train15019,train
train17550,train
train4110,train
train13619,train
train14536,train
train15363,train
train4463,train
train9098,train
train484,train
train10854,train
train4518,train
train4139,train
train5607,train
train567,train
train6080,train
train13327,train
train3974,train
train11787,train
train17285,train
train3518,train
train7196,train
train14333,train
train18296,train
train1981,train
train5681,train
train12897,train
train16313,train
train15767,train
train5652,train
train12249,train
train5283,train
train9082,train
train13092,train
train14515,train
train2610,train
train16288,train
train6652,train
train12831,train
train14759,train
train10307,train
train10837,train
train2895,train
train18277,train
train2888,train
train5314,train
train5313,train
train12697,train
train2379,train
train3782,train
train11486,train
train17768,train
train9487,train
train1198,train
train5903,train
train5594,train
train1036,train
train4642,train
train6583,train
train14466,train
train14649,train
train1986,train
train2015,train
train8794,train
train1398,train
train4198,train
train14510,train
train8319,train
train10156,train
train5976,train
train5195,train
train9909,train
train12855,train
train18430,train
train16494,train
train7978,train
train1814,train
train8378,train
train6881,train
train18708,train
train6902,train
train690,train
train11243,train
train10685,train
train10025,train
train9741,train
train15741,train
train4424,train
train11242,train
train2101,train
train10226,train
train8473,train
train4271,train
train6112,train
train7069,train
train12292,train
train6949,train
train11130,train
train10939,train
train7476,train
train18136,train
train5255,train
train285,train
train8521,train
train10621,train
train7655,train
train18650,train
train17982,train
train3226,train
train12406,train
train18635,train
train993,train
train12310,train
train9596,train
train4383,train
train3571,train
train8895,train
train5979,train
train12505,train
train10077,train
train939,train
train14717,train
train10537,train
train10132,train
train13541,train
train14282,train
train11478,train
train15132,train
train5848,train
train1161,train
train2335,train
train11406,train
train15223,train
train1063,train
train12577,train
train9198,train
train14800,train
train11209,train
train3637,train
train576,train
train18730,train
train8724,train
train790,train
train14973,train
train6995,train
train14917,train
train11367,train
train11682,train
train11399,train
train14962,train
train17241,train
train1970,train
train14709,train
train9351,train
train16976,train
train6442,train
train2799,train
train10971,train
train8665,train
train18338,train
train13725,train
train8966,train
train15930,train
train796,train
train1044,train
train15546,train
train3908,train
train10459,train
train11561,train
train7251,train
train148,train
train7893,train
train9535,train
train13816,train
train16401,train
train6233,train
train13102,train
train6039,train
train2082,train
train11574,train
train15968,train
train7529,train
train11366,train
train5189,train
train4114,train
train9321,train
train16995,train
train10009,train
train10015,train
train8638,train
train8906,train
train16573,train
train14203,train
train9201,train
train11409,train
train669,train
train9568,train
train1018,train
train13872,train
train6810,train
train13534,train
train13666,train
train8064,train
train2745,train
train121,train
train8914,train
train8157,train
train17010,train
train5711,train
train5664,train
train5538,train
train1868,train
train13351,train
train3474,train
